Query,Label
00:00:01:28 ?,
00:00:10:24 This needs to be redone- can't see the car on GPs,
00:00:49:09 Lansinoh,
00:00:54:12 Extra video starting here,
00:00:30:09 gas relief,
00:00:43:07 Looks good,
00:00:46:05 I noticed a few words got cut off taking away from the flow. Updated at the end and thought instead of thoughts at the beginning,Overlapping elements on screen
"00:00:22:08 It is hard to tell what the video is for. Could we have a cool overlay that shows ""LEVELS Continuous Glucose Monitor"" at the beginning of the clip?  At 0:26 Can the screenshot be of the Levels app instead of FreeStyle? At the end, instead of talking about data sharing, can we replace with a quick montage of usefull Levels features and sell the product?",Overlapping elements on screen
00:00:33:20 Like it,
00:00:18:09 Please correct spelling of Peloton (spelled PELETON in video,"Spelling in the captions / Adding text / Changing text
"
00:00:52:19 Looks good,
"00:01:00:20 I don't watch a lot of short form, so new to this. But wondering if there is a way to have a cleaner end to the videos. Maybe my logo pushing in really quick instead of a hard end to the video segment that was cut. Please let me know your thoughts.",
00:00:18:09 I've uploaded again with the correction you can check it!,
00:00:22:08 i can replace the screenshots but promoting levels at the end might be repetitive as i've already created a reel for the same,Captions repeating at different timestamps
00:00:22:08 if you still want me to do it i'll do it no problem,Captions repeating at different timestamps
"00:00:12:15 Can we pump up his volume here, more than the music a bit",Sound effects or music louder than the speaker’s voice
00:00:15:04 Add text here -  Morning Routine,"Spelling in the captions / Adding text / Changing text
"
00:00:29:09 Text here - COFFEE TIME,"Spelling in the captions / Adding text / Changing text
"
00:00:40:15 Put text - WORK,"Spelling in the captions / Adding text / Changing text
"
00:00:47:08 Text - THE WARM UP to the WARMUP,"Spelling in the captions / Adding text / Changing text
"
00:01:21:13 Put this text on screen - whatever he is saying. 4 sets on the bag,"Spelling in the captions / Adding text / Changing text
"
00:01:28:08 Put some pumped up music here,Sound effects or music louder than the speaker’s voice
00:01:45:04 Put what he is saying on screen - keywords,"Spelling in the captions / Adding text / Changing text
"
00:02:02:07 Text - Training time,"Spelling in the captions / Adding text / Changing text
"
00:02:02:07 We need to pump up his voice and clean it a bit,Sound effects or music louder than the speaker’s voice
00:02:10:04 Can you use arrow for his moments?,Reframing
00:03:49:08 Text - GOT SOME JEWELLERY,"Spelling in the captions / Adding text / Changing text
"
00:04:01:00 Text - Supplements Put name of supplement and put how it helps,"Spelling in the captions / Adding text / Changing text
"
00:04:11:20 Zoom him in and show.Cut close to him then zoom out as well,Reframing
"00:04:40:05 Add some fun sound effect and a shower cap emoji, focus on him..",Sound effects or music louder than the speaker’s voice
00:04:41:06 Do a quick zoom in to his face and pause there for a second with a funny sound effect,Sound effects or music louder than the speaker’s voice
"00:06:07:19 Use a cut zoom in zoom out, it will make the video more dynamic",Reframing
"00:07:52:19 Do a pan from below to up, zoom in, show as he points the things",Reframing
"00:09:19:13 Some text like, YUMMYYYYY It should look funnt","Spelling in the captions / Adding text / Changing text
"
"00:09:35:04 Pump up his voice volume,",Sound effects or music louder than the speaker’s voice
00:00:00:00 Put a banner in the start  - the one I sent on slack ,"Spelling in the captions / Adding text / Changing text
"
00:00:17:10 Move the frame with his body,Reframing
00:00:20:06 Move the frame with her body,Reframing
"00:00:22:18 Combine both the trainings the previous one and this, and put it up and down split",Reframing
00:00:31:09 ASRV T!,"Spelling in the captions / Adding text / Changing text
"
00:00:35:05 JEWELLERY,"Spelling in the captions / Adding text / Changing text
"
00:00:57:19 End video here (,End video
"00:00:48:09 Split screen here as well, after the cake bit is done, split screen up and down",Reframing
00:01:50:00 Remove Have Along,"Spelling in the captions / Adding text / Changing text
"
00:01:00:20 Yes! We can do this. Will incorporate it in the all the videos.,"Spelling in the captions / Adding text / Changing text
"
00:00:22:08 Hey Aditya! Please incorporate it. :D,"Spelling in the captions / Adding text / Changing text
"
"00:01:23:20 Make all the sound in the entire video, the same level",Sound effects or music louder than the speaker’s voice
00:00:00:01 Keep all the pictures that are coming in the video to 8/10 seconds,Reframing
00:06:23:01 Put text below 6'o clock,"Spelling in the captions / Adding text / Changing text
"
"00:05:06:08 Cut this and the Penis part, start with the she was grabbing - next line","Spelling in the captions / Adding text / Changing text
"
00:09:02:00 Zoom in here,Reframing
00:12:03:14   Zoom in,Reframing
00:13:38:24 Fix the blurb here,Reframing
00:14:26:16 increase audio level,Sound effects or music louder than the speaker’s voice
00:33:53:11 close up,Reframing
00:00:01:16 TRYSTAN,"Spelling in the captions / Adding text / Changing text
"
00:00:08:16 TRYSTAN,"Spelling in the captions / Adding text / Changing text
"
00:00:25:07 TRYSTAN,"Spelling in the captions / Adding text / Changing text
"
00:00:30:22 Remove fullstoo,Reframing
00:00:35:17 TRYSTAN,"Spelling in the captions / Adding text / Changing text
"
00:00:47:19 TRYSTAN,"Spelling in the captions / Adding text / Changing text
"
"00:00:02:21 Just noticed Peloton was spelled ""Peleton"" at the begging. Please fix this","Spelling in the captions / Adding text / Changing text
"
00:00:08:28 can we make the captions in a bubblegum pink font with black outline to help pop?,"Spelling in the captions / Adding text / Changing text
"
00:00:17:10 5.Peloton is spelled Peleton,"Spelling in the captions / Adding text / Changing text
"
00:00:50:12 also finish out captions till the end and move up the caption box from the bottom so it does not get cut off after posting,"Spelling in the captions / Adding text / Changing text
"
