Query,Label
I noticed a few words got cut off taking away from the flow. Updated at the end and thought instead of thoughts at the beginning,Overlapping elements on screen
"It is hard to tell what the video is for. Could we have a cool overlay that shows ""LEVELS Continuous Glucose Monitor"" at the beginning of the clip?  At 0:26 Can the screenshot be of the Levels app instead of FreeStyle? At the end, instead of talking about data sharing, can we replace with a quick montage of usefull Levels features and sell the product?",Overlapping elements on screen
Please correct spelling of Peloton (spelled PELETON in video,"Spelling in the captions / Adding text / Changing text
"
i can replace the screenshots but promoting levels at the end might be repetitive as i've already created a reel for the same,Captions repeating at different timestamps
if you still want me to do it i'll do it no problem,Captions repeating at different timestamps
"Can we pump up his volume here, more than the music a bit",Sound effects or music louder than the speaker’s voice
Add text here -  Morning Routine,"Spelling in the captions / Adding text / Changing text
"
Text here - COFFEE TIME,"Spelling in the captions / Adding text / Changing text
"
Put text - WORK,"Spelling in the captions / Adding text / Changing text
"
Text - THE WARM UP to the WARMUP,"Spelling in the captions / Adding text / Changing text
"
Put this text on screen - whatever he is saying. 4 sets on the bag,"Spelling in the captions / Adding text / Changing text
"
Put some pumped up music here,Sound effects or music louder than the speaker’s voice
Put what he is saying on screen - keywords,"Spelling in the captions / Adding text / Changing text
"
Text - Training time,"Spelling in the captions / Adding text / Changing text
"
We need to pump up his voice and clean it a bit,Sound effects or music louder than the speaker’s voice
Can you use arrow for his moments?,Reframing
Text - GOT SOME JEWELLERY,"Spelling in the captions / Adding text / Changing text
"
Text - Supplements Put name of supplement and put how it helps,"Spelling in the captions / Adding text / Changing text
"
Zoom him in and show.Cut close to him then zoom out as well,Reframing
"Add some fun sound effect and a shower cap emoji, focus on him..",Sound effects or music louder than the speaker’s voice
Do a quick zoom in to his face and pause there for a second with a funny sound effect,Sound effects or music louder than the speaker’s voice
"Use a cut zoom in zoom out, it will make the video more dynamic",Reframing
"Do a pan from below to up, zoom in, show as he points the things",Reframing
"Some text like, YUMMYYYYY It should look funnt","Spelling in the captions / Adding text / Changing text
"
"Pump up his voice volume,",Sound effects or music louder than the speaker’s voice
Put a banner in the start  - the one I sent on slack ,"Spelling in the captions / Adding text / Changing text
"
Move the frame with his body,Reframing
Move the frame with her body,Reframing
"Combine both the trainings the previous one and this, and put it up and down split",Reframing
ASRV T!,"Spelling in the captions / Adding text / Changing text
"
JEWELLERY,"Spelling in the captions / Adding text / Changing text
"
End video here (,End video
"Split screen here as well, after the cake bit is done, split screen up and down",Reframing
Remove Have Along,"Spelling in the captions / Adding text / Changing text
"
Yes! We can do this. Will incorporate it in the all the videos.,"Spelling in the captions / Adding text / Changing text
"
Hey Aditya! Please incorporate it. :D,"Spelling in the captions / Adding text / Changing text
"
"Make all the sound in the entire video, the same level",Sound effects or music louder than the speaker’s voice
Keep all the pictures that are coming in the video to 8/10 seconds,Reframing
Put text below 6'o clock,"Spelling in the captions / Adding text / Changing text
"
"Cut this and the Penis part, start with the she was grabbing - next line","Spelling in the captions / Adding text / Changing text
"
Zoom in here,Reframing
  Zoom in,Reframing
Fix the blurb here,Reframing
increase audio level,Sound effects or music louder than the speaker’s voice
close up,Reframing
TRYSTAN,"Spelling in the captions / Adding text / Changing text
"
TRYSTAN,"Spelling in the captions / Adding text / Changing text
"
TRYSTAN,"Spelling in the captions / Adding text / Changing text
"
Remove fullstoo,Reframing
TRYSTAN,"Spelling in the captions / Adding text / Changing text
"
TRYSTAN,"Spelling in the captions / Adding text / Changing text
"
"Just noticed Peloton was spelled ""Peleton"" at the begging. Please fix this","Spelling in the captions / Adding text / Changing text
"
can we make the captions in a bubblegum pink font with black outline to help pop?,"Spelling in the captions / Adding text / Changing text
"
5.Peloton is spelled Peleton,"Spelling in the captions / Adding text / Changing text
"
also finish out captions till the end and move up the caption box from the bottom so it does not get cut off after posting,"Spelling in the captions / Adding text / Changing text
"
"Thank you. I don't know if my logo could fade in with a ""Full Review on YouTube"" I am trying to get people to know my my main content is on YouTube. Not sure if that within Tiktok Guidelines but interested to see what you think.","Spelling in the captions / Adding text / Changing text
"
Thanks for pointing that out seems like auto transcription gets it wrong. I've reuploaded same with correction.,"Spelling in the captions / Adding text / Changing text
"
Uploaded with changes!,"Spelling in the captions / Adding text / Changing text
"
"Cut the 2nd part of this video out, just want ford foundation",Reframing
"Hi Aditya, for the font I am looking for something more like this that pops out more. This is a great example of the editing style i am looking for: https://app.frame.io/reviews/8b7abd48-4a5a-4cf1-ae89-088edd7259b6/5d819a56-77a8-4106-b611-dd30a14070da",Reframing
"Remove everything before 0:14. This is where the clip should start. Include the discussion about how fast we think the car should go, and end the video actually showing how fast the Mustang went (Show the full pass). And the video should end with a discussion or reaction of how fast the car actually went.","Spelling in the captions / Adding text / Changing text
"
"The rest of this should be cut, and Reel 2 should be the ending of the video.",Reframing
"Here I mumble ""I'll probably do a burnout"". add that subtitle.",Reframing
"Reel is left, please upload that as well","Spelling in the captions / Adding text / Changing text
"
"Show the doggo also looking at him here and there, put a cute sfx also","Spelling in the captions / Adding text / Changing text
"
"Put on screen -
Hair
Makeup
Skincare ","Spelling in the captions / Adding text / Changing text
"
Madison logo is therE?,"Spelling in the captions / Adding text / Changing text
"
Give the video a thumbs up,"Spelling in the captions / Adding text / Changing text
"
Can we put this bit? https://www.youtube.com/watch?v=1tfptNmLwQc,"Spelling in the captions / Adding text / Changing text
"
FOR A SURPRISE!,"Spelling in the captions / Adding text / Changing text
"
Put the picture on the side as well - https://www.google.com/search?q=olehenriksen+peptide+boost+moisturizer&tbm=isch&ved=2ahUKEwiT3LTLys76AhV7i9gFHZU2Do8Q2-cCegQIABAA&oq=olehenriksen+pept&gs_lcp=CgNpbWcQARgAMgcIABCABBAYMgcIABCABBAYOgQIABBDOgUIABCABDoGCAAQHhAIOgQIABAeUJEDWKgQYNAYaAJwAHgAgAGfAYgBxgiSAQMwLjiYAQCgAQGqAQtnd3Mtd2l6LWltZ8ABAQ&sclient=img&ei=v1lAY9OACvuW4t4Ple24-Ag&bih=825&biw=1440#imgrc=dKzLK0HvCJv38M,"Spelling in the captions / Adding text / Changing text
"
The youtube icon to come on the right corner side,"Spelling in the captions / Adding text / Changing text
"
SMELLS SO GOOD,"Spelling in the captions / Adding text / Changing text
"
"Shift the captions up, where they are visible.","Spelling in the captions / Adding text / Changing text
"
Also teal color,"Spelling in the captions / Adding text / Changing text
"
"Add the camera/paper transition I shared on slack.
the second one in it for all the pictures ",Ending transition and sound effect not there
No zoom in,Reframing
Cut to face zoom,Reframing
"For the font can you use ""wonder unit sans black"" with a black outline around it? I think a bolder font will allow it to be easier to read. Also at the end, we cant place the captions at the bottom of the screen. They get cut off by the text on Instagram and Tik Tok so it makes it useless to have there since no one will be able to read it. thank you!","Spelling in the captions / Adding text / Changing text
"
MY ZEN,Reframing
Add a trasnition here,Reframing
cut this,Reframing
Place them here,Reframing
I tried the unit sans font but that really disturbs the visibility of the text. I'll update the misplacement of text in the ending.,"Spelling in the captions / Adding text / Changing text
"
A bolder one won't work? Can you put a sample of 5 seconds?,Reframing
"Change the font to the one she has suggested, with black outline and make sure that there is no caption below the red line.",Reframing
no caption here,Reframing
black screen post this,Reframing
Clay Cheek Palette,Reframing
check,Reframing
retailing,Reframing
push captions up (,Reframing
psuh captions up,Reframing
push captions up,Reframing
that have,Reframing
captions missing here,"Spelling in the captions / Adding text / Changing text
"
So it is (,"Spelling in the captions / Adding text / Changing text
"
Push the caption up,Reframing
"Put all the captions here, they are not visible in reels if put so below.",Reframing
"This frame is not working, can we put something else?
We can even use some stock footage from pexels",Reframing
This can come full screen also,Reframing
"Put this logo on top left or put in the middle but it should be transparent, the white shouldn't be visible. I have shared that file also.",Reframing
"Wee need to put the name of the person who does this, so a bit of who this person in the middle is",Reframing
"Captions to come here
and same thing about the watermark as in Reel 1",Reframing
These can be full screen,Reframing
"Thebes. In 1340,",Reframing
Extra frame,Reframing
Same thing about the watermark,"Spelling in the captions / Adding text / Changing text
"
put To be continued... here,"Spelling in the captions / Adding text / Changing text
"
Make sure the captions are in color - red black and white only ,"Spelling in the captions / Adding text / Changing text
"
Make sure the captions are in color - red black and white only,"Spelling in the captions / Adding text / Changing text
"
Make sure the captions are in color - red black and white only,"Spelling in the captions / Adding text / Changing text
"
"Same thing about the watermark.
Make sure the captions are in color - red black and white only ","Spelling in the captions / Adding text / Changing text
"
Cut this ,Reframing
Cut this,Reframing
To be continued... below and watermarks goes off here ,Reframing
Start from here ,Reframing
"Same thing about the watermark.
Make sure the captions are in color - red black and white only",Reframing
Cut ,Reframing
Zoom in more,Reframing
To be continued... below,Reframing
Start from here,Reframing
Zoom this in,Reframing
Avoid all black patcheds in between ,Reframing
Watermark and captions - red black white only,Reframing
"Make one more reel, in which all the outfits are fit in one reel only.",Reframing
like?all outfits pic in 1 reel?or vids? ,Reframing
wedddwdw,"Spelling in the captions / Adding text / Changing text
"
"The third one has to be put, this is the second one from the transition",Ending transition and sound effect not there
And no paper BG,"Spelling in the captions / Adding text / Changing text
"
Cut to face zoom,Reframing
"Instead of putting it on a BG and making a transition here, let's put a small logo beside Annie so it is not so pixelated. ",Ending transition and sound effect not there
"To avoid cut, zoom cut to face ","Spelling in the captions / Adding text / Changing text
"
cut this ALvin bit,"Spelling in the captions / Adding text / Changing text
"
"Same logo thing here as well, same as 4.22","Spelling in the captions / Adding text / Changing text
"
Can we zoom out and show this entire thing,Reframing
Please keep text at the center of the screen. Use font MONUMENT EXTENDED BOLD with no black border just all white font.  Please see VLOG edit below for reference.  https://www.dropbox.com/s/8to7ydgajgd993s/YT%20Vlog%209.30.22.mp4?dl=0,"Spelling in the captions / Adding text / Changing text
"
"For this EVERY SINGLE TIME
Can we have a cut to zoom closer to her face for all the words?",Reframing
PERSON'S ,"Spelling in the captions / Adding text / Changing text
"
GEO-LOCATION,Ending transition and sound effect not there
Add an ending sfx,Ending transition and sound effect not there
"CAN YOU FIX?  There is a second where my channel ""subscribe now"" pops up and then cuts away - it looks weird.  Can you cut that part out - it is at 28 seconds in ","Spelling in the captions / Adding text / Changing text
"
"CAN YOU CHANGE THE EDIT AT THE END?  Around 43 seconds, the images don't make any sense.  Can you make an adjustment? ",Ending transition and sound effect not there
Enhance the creator's audio here and increase volume pls,Sound effects or music louder than the speaker’s voice
"End seems abrupt. Pls see if you can add another sentence of the creator speaking and cut it from the start point. If not, a SFX would work.",Ending transition and sound effect not there
"Add another second or 2 of him saying ""it doesnt make any sense"" from the yt video after he says ""back to the world"" right at the end..",Ending transition and sound effect not there
yes..will do,Ending transition and sound effect not there
ya.will change that,Ending transition and sound effect not there
The $177 at the end should be huge. Could use a cha-ching SFX here too to conclude the vid..,Ending transition and sound effect not there
Same thing here (Just make the total amount at the end bigger and add a louder cha ching to end the vid,Ending transition and sound effect not there
"The background music is a little loud, pls turn it down a bit.",Sound effects or music louder than the speaker’s voice
"This is a video of a man, but we are speaking about a woman (",Sound effects or music louder than the speaker’s voice
Added stock videos are fine but the gender and race should match that of the real people,Sound effects or music louder than the speaker’s voice
"LIVE.
Y'ALL, ","Spelling in the captions / Adding text / Changing text
"
Can you add her logo on the top left corner (,"Spelling in the captions / Adding text / Changing text
"
Also add some music in it - subtle music - up beat,Sound effects or music louder than the speaker’s voice
Give some words highlights and also add sound effects and emojis,Sound effects or music louder than the speaker’s voice
Add music - we need music in all his reels - something soothing,Sound effects or music louder than the speaker’s voice
Add some transitions,Ending transition and sound effect not there
"Add a banner in the start - Oddly Satisfying Abstract in Acrylics for Beginner!
With some emojis and sfx","Spelling in the captions / Adding text / Changing text
"
"Add transitions, pan the frame with his hand movement a bit, zoom in zoom out,, left right",Reframing
"If there is a logo in his YT videos, can we add that at the end?","Spelling in the captions / Adding text / Changing text
"
A banner in the start - Abstract Painting Tips and Tricks with Pallet Knife,"Spelling in the captions / Adding text / Changing text
"
Put captions above red line. ,"Spelling in the captions / Adding text / Changing text
"
PURSUE,"Spelling in the captions / Adding text / Changing text
"
Change the color of the captions to Pink?,"Spelling in the captions / Adding text / Changing text
"
white is not that visible,"Spelling in the captions / Adding text / Changing text
"
Make all the text come the same way,"Spelling in the captions / Adding text / Changing text
"
"Can we have bolder text, this won't be that visible (","Spelling in the captions / Adding text / Changing text
"
Put the captions on top,"Spelling in the captions / Adding text / Changing text
"
The overall music needs to be lower - her voice needs to be more up and loud,Sound effects or music louder than the speaker’s voice
that hairline,"Spelling in the captions / Adding text / Changing text
"
"The intro and fade in looks very dainty & low effort. Pls change that fade in to something bolder with a better font. For this whole ""regrow edges"" video series..",Reframing
there is no logo,End video
"End the video here!
Make the frame.io link downloadable.",Reframing
"TEXT SHOULD NOT COME LIKE THIS
Zoom out and show
Banner is missing from the start (","Spelling in the captions / Adding text / Changing text
"
"He should be in center, why is he on the left side>",Reframing
to the NINES.,Reframing
extra frame (,Reframing
extra frame,Reframing
the maple spiced latter.,Reframing
"We can;t see the price of these coming, this frame is useless",Reframing
"Show them both in split screen.. Building dekhni hai kya humei yahan pe?
Where is the edit sende?",Reframing
me.io link downloadable.,Reframing
This is not loading,Reframing
Make the frame.io link downloadable.,Reframing
Banner for the video is the same as Reel 1,"Spelling in the captions / Adding text / Changing text
"
And then put the location banner as it is,"Spelling in the captions / Adding text / Changing text
"
"Show them both split screen, why are we seeing the BG more than the people? ",Reframing
We're in N R ,"Spelling in the captions / Adding text / Changing text
"
EXTRA FRAME,Reframing
EXTRA FRAME,Reframing
ramen and cocktails,"Spelling in the captions / Adding text / Changing text
"
 WHAT SHOULD I SEE HERE? BLACK SCREEN?,Reframing
IT'S BRING ME BACK TO JAPAN ACTUALLY.,"Spelling in the captions / Adding text / Changing text
"
"End the video here!
Make the frame.io link downloadable.",Reframing
"This is how the Vlogs are supposed to be - https://app.frame.io/projects/947f1b3a-322d-45e3-be31-66e02e843c65/b92cc511-d1d1-4f16-b4fb-aab9c3d72996
Please re-edit accordingl",Reframing
Hey! The captions are missing ,"Spelling in the captions / Adding text / Changing text
"
U forgot to put subtitles! Pls put em.,"Spelling in the captions / Adding text / Changing text
"
16 seconds instead of have a patch waist its supposed to say have a snatch waist and the 2nd typo at 22 seconds  on the video it needs to stay I'm gonna put the waist trainer right on top just so the cream can work for hours. 3rd typo erase the word curl (261 kB,Reframing
Divide this caption into two parts,Reframing
"Make sure all the captions are coming here in the red box throughout so they are visible.
Remove the black band behind it and only 5/6 words should come at one point of time.","Spelling in the captions / Adding text / Changing text
"
check the frame here,Reframing
"Make sure all the captions are coming here in the red box throughout so they are visible.
Remove the black band behind it and only 5/6 words should come at one point of time.
Also make the subtitle font size smaller. ","Spelling in the captions / Adding text / Changing text
"
and the I O is ,"Spelling in the captions / Adding text / Changing text
"
The text on screen behind it is getting cut ,"Spelling in the captions / Adding text / Changing text
"
"Of course, you did! ","Spelling in the captions / Adding text / Changing text
"
car purchase. ,"Spelling in the captions / Adding text / Changing text
"
"Make sure all the captions are coming here in the red box throughout so they are visible.
Remove the black band behind it and only 5/6 words should come at one point of time.
Also make the subtitle font size smaller.",Reframing
Zoom out and show this logo,Reframing
TOBLERONE ,"Spelling in the captions / Adding text / Changing text
"
Add end transition and sfx,Ending transition and sound effect not there
Add end transition and sfx,Ending transition and sound effect not there
Add end transition and sfx ,Ending transition and sound effect not there
Add an end sfx and transition ,Ending transition and sound effect not there
Subtitles are missing (,"Spelling in the captions / Adding text / Changing text
"
Add subtitles ,"Spelling in the captions / Adding text / Changing text
"
End sfx and transiiton ,Ending transition and sound effect not there
Subtitles and end transition and sfx,Ending transition and sound effect not there
Subtitles and end sfx transition ,Ending transition and sound effect not there
End sfx and subtitles,Ending transition and sound effect not there
Subtitles and end transition and sfx,Ending transition and sound effect not there
snatch waist.,"Spelling in the captions / Adding text / Changing text
"
trainer on top,"Spelling in the captions / Adding text / Changing text
"
remove for hours. from here,"Spelling in the captions / Adding text / Changing text
"
My name is Toyesha Smarr,"Spelling in the captions / Adding text / Changing text
"
fat be gone gel,"Spelling in the captions / Adding text / Changing text
"
remove frame,Reframing
"There is a glitch frame that pops in at 00:05 to remove.  I have some general notes for ALL short videos edited from my various “Uniform” videos (the ones with music only, no narration).  I like what you’re doing but I would like them all to be be re-edited following these notes:
I like the opening for “LION_SHORT_31” - with the title of the video and the dates - Briefly as you have it.  Within the BODY of the video - I like showcasing three uniforms but can you re-edit them so that the shots with the original titles/names of the Uniforms are REMOVED and you just have the title re-written at the top of the frame? - this is cleaner and not “cut-off”.  Is it possible to use a different FONT for those titles as well?",Sound effects or music louder than the speaker’s voice
"I have some general notes for ALL short videos edited from my various “Uniform” videos (the ones with music only, no narration).  I like what you’re doing but I would like them all to be be re-edited following these notes:
I like the opening for “LION_SHORT_31” - with the title of the video and the dates - Briefly as you have it.  I would like something like this for each video in this series.  Within the BODY of the video - I like showcasing three uniforms but can you re-edit them so that the shots with the original titles/names of the Uniforms are REMOVED and you just have the title re-written at the top of the frame? - this is cleaner and not “cut-off”.  Is it possible to use a different FONT for those titles as well?  Also - these titles are sometimes too short to read and not on screen long enough.",Sound effects or music louder than the speaker’s voice
"general notes for ALL short videos edited from my various “Uniform” videos (the ones with music only, no narration).  I like what you’re doing but I would like them all to be be re-edited following these notes:
I like the opening for “LION_SHORT_31” - with the title of the video and the dates - Briefly as you have it.  I would like something like this for each video in this series.  Within the BODY of the video - I like showcasing three uniforms but can you re-edit them so that the shots with the original titles/names of the Uniforms are REMOVED and you just have the title re-written at the top of the frame? - this is cleaner and not “cut-off”.  Is it possible to use a different FONT for those titles as well?  Also - these titles are sometimes too short to read and not on screen long enough.",Sound effects or music louder than the speaker’s voice
"I have some general notes for ALL short videos edited from my various “Uniform” videos (the ones with music only, no narration).  I like what you’re doing but I would like them all to be be re-edited following these notes:
I like the opening for “LION_SHORT_31” - with the title of the video and the dates - Briefly as you have it.  I would like something like this for each video in this series.  Within the BODY of the video - I like showcasing three uniforms but can you re-edit them so that the shots with the original titles/names of the Uniforms are REMOVED and you just have the title re-written at the top of the frame? - this is cleaner and not “cut-off”.  Is it possible to use a different FONT for those titles as well?  Also - these titles are sometimes too short to read and not on screen long enough.",Sound effects or music louder than the speaker’s voice
"I have some general notes for ALL short videos edited from my various “Uniform” videos (the ones with music only, no narration).  I like what you’re doing but I would like them all to be be re-edited following these notes:
I like the opening for “LION_SHORT_31” - with the title of the video and the dates - Briefly as you have it.  I would like something like this for each video in this series.  Within the BODY of the video - I like showcasing three uniforms but can you re-edit them so that the shots with the original titles/names of the Uniforms are REMOVED and you just have the title re-written at the top of the frame? - this is cleaner and not “cut-off”.  Is it possible to use a different FONT for those titles as well?  Also - these titles are sometimes too short to read and not on screen long enough.",Sound effects or music louder than the speaker’s voice
Manawar from Bubblez Same thing here. A title at the beginning of the vid. And less sad music we can put something upbeat as it's a funny video.,Sound effects or music louder than the speaker’s voice
"Asked you to put captions above the red line, not below, it won't be visible","Spelling in the captions / Adding text / Changing text
"
Rob Janoff,"Spelling in the captions / Adding text / Changing text
"
"Caption missing here , that also needs to be put ","Spelling in the captions / Adding text / Changing text
"
"Janoff bought a bag of apples
Captions missing here again","Spelling in the captions / Adding text / Changing text
"
and spent the week missing,"Spelling in the captions / Adding text / Changing text
"
Caption missing again ,"Spelling in the captions / Adding text / Changing text
"
Caption missing ,"Spelling in the captions / Adding text / Changing text
"
Caption missing,"Spelling in the captions / Adding text / Changing text
"
"Put all the captions back, otherwise will have to reject this ","Spelling in the captions / Adding text / Changing text
"
Only make sure that the captions on every frame/screen have only 4/5 words.. they are un 1/2 lines and not 4/5 lines.,Reframing
"Asked you to put captions above the red line, not below, it won't be visible.","Spelling in the captions / Adding text / Changing text
"
"Captions missing in this also..
Keep the comments of both Video 1 as well ","Spelling in the captions / Adding text / Changing text
"
"Asked you to put captions above the red line, not below, it won't be visible.","Spelling in the captions / Adding text / Changing text
"
"Missing here also, the captions - Same as Video 1","Spelling in the captions / Adding text / Changing text
"
"Asked you to put captions above the red line, not below, it won't be visible.","Spelling in the captions / Adding text / Changing text
"
"Captions missing here also. Put 1/2 lines only not 3/4 in one frame.
Sane as Video 1",Reframing
Put captions above red line ,"Spelling in the captions / Adding text / Changing text
"
Maestre ,"Spelling in the captions / Adding text / Changing text
"
"Hi Aditya, font for the captions can they be like this please? https://www.instagram.com/p/CjlFXLDB4O5/ this is a great reference for what i am looking for. thank you ","Spelling in the captions / Adding text / Changing text
"
For this clip we should focus on one question that has the most engagement. In the video it is time stamp 4:43-6:52. It can be condensed to share the most interesting parts to keep it at 60 seconds.,"Spelling in the captions / Adding text / Changing text
"
captions like this : https://www.instagram.com/p/CjlFXLDB4O5/,"Spelling in the captions / Adding text / Changing text
"
"we can cut out crib mattress section as it gets cut off and doesnt flow with this clip. Just keep it as both strollers and maybe add text in the beginning saying ""2 stroller options for newborns""","Spelling in the captions / Adding text / Changing text
"
"Tourist Mistake: Not Using The Subway (don't # these 1,2,3 these are all seperate)","Spelling in the captions / Adding text / Changing text
"
NYC Tourist Mistake: Eating at Chain Restaurants and hold this on screen :2 seconds,"Spelling in the captions / Adding text / Changing text
"
0:00 Have You Ever Seen This NYC Hidden Gem?,"Spelling in the captions / Adding text / Changing text
"
0:00 Have You Seen This Hidden Memorial in NYC?,"Spelling in the captions / Adding text / Changing text
"
I legit think,"Spelling in the captions / Adding text / Changing text
"
"start the video HERE put ""Have You ever heard of this Secret NYC Garden?"" in the beginning here","Spelling in the captions / Adding text / Changing text
"
0:00 Change #1LinkNYC Boxes to: Have You Ever Seen These NYC Link Boxes? and hold it on screen for :2 seconds,"Spelling in the captions / Adding text / Changing text
"
2 seconds (,"Spelling in the captions / Adding text / Changing text
"
"instead of the title screen you have put at 0:00 for 2 seconds ""Have You Ever Eaten NYC Pizza in an Old Church?""","Spelling in the captions / Adding text / Changing text
"
0:00 New title screen put: The World's Most Unique Pizzeria?,"Spelling in the captions / Adding text / Changing text
"
New title screen put: The World's Most Unique Pizzeria?,"Spelling in the captions / Adding text / Changing text
"
Cut :31-:34,"Spelling in the captions / Adding text / Changing text
"
Ending's bad.. forget that price point. Cut to my camera guy saying i'm a bad catholic.. and end with that.,Spelling in the captions / Adding text / Changing text
"change this intro screen and put ""Have You Ever Seen This Hidden NYC Waterfall?"" Hold it on screen first 3 seconds","Spelling in the captions / Adding text / Changing text
"
"keep this video going, there's more spots. name them all we can go longer here","Spelling in the captions / Adding text / Changing text
"
"change the title bar to ""Throw Away Your NYC Metrocard?"" hold for 2 seconds","Spelling in the captions / Adding text / Changing text
"
end the video here at :19,Ending transition and sound effect not there
veselka (cut the is),"Spelling in the captions / Adding text / Changing text
"
cut :17 to 30 second,"Spelling in the captions / Adding text / Changing text
"
hold pearl diner 2 seconds on screen,"Spelling in the captions / Adding text / Changing text
"
Italy,"Spelling in the captions / Adding text / Changing text
"
Italy After Dinner (,"Spelling in the captions / Adding text / Changing text
"
Put at 0:00 Is This New York's BEST Diner? leave that on screen for 2 seconds,"Spelling in the captions / Adding text / Changing text
"
omelette feta (,"Spelling in the captions / Adding text / Changing text
"
This is the best,"Spelling in the captions / Adding text / Changing text
"
"Put on screen here also, NYC Queens Chinatown Hidden Gem down a Corridor","Spelling in the captions / Adding text / Changing text
"
Now that you guys are showing me ,"Spelling in the captions / Adding text / Changing text
"
Bougatsa ,"Spelling in the captions / Adding text / Changing text
"
"29-29 23rd St, Queens, NY","Spelling in the captions / Adding text / Changing text
"
Know how to eat healthy,"Spelling in the captions / Adding text / Changing text
"
Probably one,"Spelling in the captions / Adding text / Changing text
"
You can get ,"Spelling in the captions / Adding text / Changing text
"
There we go ,"Spelling in the captions / Adding text / Changing text
"
hold franky's souvlaki :1 longer,"Spelling in the captions / Adding text / Changing text
"
"31 Steinway St #2, Queens, NY","Spelling in the captions / Adding text / Changing text
"
Can we get three lamb sticks ,"Spelling in the captions / Adding text / Changing text
"
we pick,"Spelling in the captions / Adding text / Changing text
"
Frankies,"Spelling in the captions / Adding text / Changing text
"
I've actually been coming here since I was a little kid ,"Spelling in the captions / Adding text / Changing text
"
31st avenue,"Spelling in the captions / Adding text / Changing text
"
It's been here for years,"Spelling in the captions / Adding text / Changing text
"
As a kid I used to,"Spelling in the captions / Adding text / Changing text
"
"We used to order lemon,salt ","Spelling in the captions / Adding text / Changing text
"
What did this cost,"Spelling in the captions / Adding text / Changing text
"
:34 can you show a better b-roll shot than this one. maybe us eating?,"Spelling in the captions / Adding text / Changing text
"
"Hold best north dumpling shop on screen til :2 and  4142 Main St Flushing, Queens","Spelling in the captions / Adding text / Changing text
"
Inside the M Social Hotel is A ,"Spelling in the captions / Adding text / Changing text
"
This Grate,"Spelling in the captions / Adding text / Changing text
"
hum or music ,Sound effects or music louder than the speaker’s voice
"start the video here and put on screen as well ""New York's BEST Free View?""","Spelling in the captions / Adding text / Changing text
"
odd cut here,"Spelling in the captions / Adding text / Changing text
"
Summit OV,"Spelling in the captions / Adding text / Changing text
"
"To times square, put this on screen as well","Spelling in the captions / Adding text / Changing text
"
They just opened up,"Spelling in the captions / Adding text / Changing text
"
you want to get a little fancier?,"Spelling in the captions / Adding text / Changing text
"
captions need to be higher in frame and not at the bottom. They wont be visible after posting on IG if they are that low.,Reframing
background music too high. Needs to be a bit lower.,Sound effects or music louder than the speaker’s voice
lower background music,Sound effects or music louder than the speaker’s voice
"we cant end a video in mid sentence. it looks incomplete. Just focus on little sleepies portion and have a beginning and end to it. Code to add on screen is ""Madison15"" for 15% off.",Ending transition and sound effect not there
Cant end video in mid sentence. Each video needs a purpose and what story its telling to the audience. Need to be strategic on what segments are being taken from long form content.,Ending transition and sound effect not there
"The ending is abrupt, we need it to be more clear.
The sentence is getting cut awkwardly.",Ending transition and sound effect not there
"The end transition is still not there - please put
It end abrupty (",Ending transition and sound effect not there
"The end transition is still not there - please put
It end abrupty (",Ending transition and sound effect not there
Dont end a short form video in mid sentence. It looks like it is not completed,Ending transition and sound effect not there
Music can be better! ,Sound effects or music louder than the speaker’s voice
Upbeat - inspirational music,Sound effects or music louder than the speaker’s voice
 flash frame ,Reframing
this transition is bad,Ending transition and sound effect not there
in the end also flash frame (,Reframing
flash frame,Reframing
again flash frame,Reframing
and again flash frame ,Reframing
Zoom out to show this frame as the name is coming on screen,Reframing
